Number,Name,Type1,Type2
001,Bulbasaur,grass,poison
002,Ivysaur,grass,poison
003,Venusaur,grass,poison
004,Charmander,fire,NA
005,Charmeleon,fire,NA
006,Charizard,fire,flying
007,Squirtle,water,NA
008,Wartortle,water,NA
009,Blastoise,water,NA
010,Caterpie,bug,NA
011,Metapod,bug,NA
012,Butterfree,bug,flying
013,Weedle,bug,poison
014,Kakuna,bug,poison
015,Beedrill,bug,poison
016,Pidgey,normal,flying
017,Pidgeotto,normal,flying
018,Pidgeot,normal,flying
019,Rattata,normal,NA
020,Raticate,normal,NA
021,Spearow,normal,flying
022,Fearow,normal,flying
023,Ekans,poison,NA
024,Arbok,poison,NA
025,Pikachu,electric,NA
026,Raichu,electric,NA
027,Sandshrew,ground,NA
028,Sandslash,ground,NA
029,Nidoran_F,poison,NA
030,Nidorina,poison,NA
031,Nidoqueen,poison,ground
032,Nidoran_M,poison,NA
033,Nidorino,poison,NA
034,Nidorking,poison,ground
035,Clefairy,normal,NA
036,Clefable,normal,NA
037,Vulpix,fire,NA
038,Ninetales,fire,NA
039,Jigglypuff,normal,NA
040,Wigglytuff,normal,NA
041,Zubat,poison,flying
042,Golbat,poison,flying
043,Oddish,grass,poison
044,Gloom,grass,poison
045,Vileplume,grass,poison
046,Paras,bug,grass
047,Parasect,bug,grass
048,Venonat,bug,poison
049,Venomoth,bug,poison
050,Diglett,ground,NA
051,Dugtrio,ground,NA
052,Meowth,normal,NA
053,Persian,normal,NA
054,Psyduck,water,NA
055,Golduck,water,NA
056,Mankey,fighting,NA
057,Primeape,fighting,NA
058,Growlithe,fire,NA
059,Arcanine,fire,NA
060,Poliwag,water,NA
061,Poliwhirl,water,NA
062,Poliwrathl,water,fighting
063,Abra,psychic,NA
064,Kadabra,psychic,NA
065,Alakazam,psychic,NA
066,Machop,fighting,NA
067,Machoke,fighting,NA
068,Machamp,fighting,NA
069,Bellsprout,Grass,Poison
070,Weepinbell,Grass,Poison
071,Victreebel,Grass,Poison
072,Tentacool,Water,Poison
073,Tentacruel,Water,Poison
074,Geodude,Rock,Ground
075,Graveler,Rock,Ground
076,Golem,Rock,Ground
077,Ponyta,Fire,NA
078,Rapidash,Fire,NA
079,Slowpoke,Water,Psychic
080,Slowbro,Water,Psychic
081,Magnemite,Electric,NA
082,Magneton,Electric,NA
083,Farfetch'd,Normal,Flying
084,Doduo,Normal,Flying
085,Dodrio,Normal,Flying
086,Seel,Water,NA
087,Dewgong,Water,Ice
088,Grimer,Poison,NA
089,Muk,Poison,NA
090,Shellder,Water,NA
091,Cloyster,Water,Ice
092,Gastly,Ghost,Poison
093,Haunter,Ghost,Poison
094,Gengar,Ghost,Poison
095,Onix,Ground,Rock
096,Drowzee,Psychic,NA
097,Hypno,Psychic,NA
098,Krabby,Water,NA
099,Kingler,Water,NA
100,Voltorb,Electric,NA
101,Electrode,Electric,NA
102,Exeggcute,Grass,Psychic
103,Exeggutor,Grass,Psychic
104,Cubone,Ground,NA
105,Marowak,Ground,NA
106,Hitmonlee,Fighting,NA
107,Hitmonchan,Fighting,NA
108,Lickitung,Normal,NA
109,Koffing,Poison,NA
110,Weezing,Poison,NA
111,Rhyhorn,Ground,Rock
112,Rhydon,Ground,Rock
113,Chansey,Normal,NA
114,Tangela,Grass,NA
115,Kangaskhan,Normal,NA
116,Horsea,Water,NA
117,Seadra,Water,NA
118,Goldeen,Water,NA
119,Seaking,Water,NA
120,Staryu,Water,NA
121,Starmie,Water,Psychic
122,Mr. Mime,Psychic,NA
123,Scyther,Bug,Flying
124,Jynx,Ice,Psychic
125,Electabuzz,Electric,NA
126,Magmar,Fire,NA
127,Pinsir,Bug,NA
128,Tauros,Normal,NA
129,Magikarp,Water,NA
130,Gyarados,Water,Flying
131,Lapras,Water,Ice
132,Ditto,Normal,NA
133,Eevee,Normal,NA
134,Vaporeon,Water,NA
135,Jolteon,Electric,NA
136,Flareon,Fire,NA
137,Porygon,Normal,NA
138,Omanyte,Rock,Water
139,Omastar,Rock,Water
140,Kabuto,Rock,Water
141,Kabutops,Rock,Water
142,Aerodactyl,Rock,Flying
143,Snorlax,Normal,NA
144,Articuno,Ice,Flying
145,Zapdos,Electric,Flying
146,Moltres,Fire,Flying
147,Dratini,Dragon,NA
148,Dragonair,Dragon,NA
149,Dragonite,Dragon,Flying
150,Mewtwo,Psychic,NA
151,Mew,Psychic,NA
